name,address,phone,description
CIRFA de Chambéry,45 avenue Jean Jaurès 73200 Albertville France,0479709689,"Vous avez entre 16 et 29 ans et vous souhaitez découvrir l’armée de Terre. ? Le  Centre d'Information et de Recrutement des Forces Armées   de Chambéry est ouvert du lundi au jeudi de 08h00 à 12h00 et de 12h45 à 17h15.   Le vendredi sans interruptions de 08h00 à 16h00, afin de répondre à vos questions pour : 1 – des RDV personnalisés 2 - des séances d'informations collectives, à votre demande si besoin, afin d’évoquer une spécialité particulière (ex : « l’Ecole Militaire Préparatoire Technique » - EMPT de Bourges - 16 à 20 ans) 3 – des entretiens téléphoniques avec un Conseiller en Recrutement (CeR). Mais également, possibilités de RDV sur nos différentes permanences de 09H00 à 12h00 et de 13H30 à 16h30 à : Aix les Bains, chaque 1er et 3e mercredi de chaque mois à la mairie. Albertville, chaque 1er et 2e mercredi de chaque mois au CIO. St Jean de Maurienne, chaque 4e mercredi de chaque mois au CIO. Moûtiers, chaque 3e mercredi de chaque mois à la mairie St Genix les villages (St Genix s/Guiers), chaque 2e mercredi de chaque mois de 13h30 à 16h00 UNIQUEMENT, à la Mairie. Pour nous rencontrer et être sûr(e) d’obtenir des informations personnalisées, prenez l’option RDV par téléphone au 04 79 70 96 89 ou via le site sengager.fr, onglet rouge « RENDEZ-VOUS EN CIRFA."
CIRFA de Charleville-Mézières,Antenne mission locale de Sedan 37 Avenue Général de Gaulle 08110 Carignan France,0324413536,"Afin de répondre au mieux à vos attentes, nous vous invitons à nous contacter par téléphone pour prendre rendez-vous avec un conseiller en recrutement. Possibilité de venir le samedi matin sur rendez-vous. Le  Centre d'Information et de Recrutement des Forces Armées   dispose d'un parking. Nous vous invitons à consulter ces ressources vidéo sur notre chaîne : - L'armée de Terre... comment ça marche ? - Le Centre de Formation Initiale du Militaire (CFIM). Nous sommes partenaires avec le 3e Régiment du Génie de Charleville-Mézières : vous désirez vous y engager ? Venez à notre rencontre au CIRFA !"
CIRFA de Chartres,Maison de l’Etat 2 rue de CIVRY 28200 Châteaudun France,0237915639,"Les conseillers en recrutement du Centre d’Information et de Recrutement des Forces Armées de Chartres sont heureux de vous accueillir afin de répondre à toutes vos questions. Vous pouvez rencontrer un conseiller en recrutement 1 fois par mois sur nos permanences : - A Châteaudun : Maison de l’Etat, 2 rue de Civry - A Nogent-le-Rotrou : Mission locale, 2 rue Sainte Anne - A Dreux : Maison des entreprises et de l’emploi (M2ED) 4 Rue de Châteaudun UNIQUEMENT sur RDV au 02 37 91 56 39 (Pièce d’identité obligatoire pour accéder au centre de recrutement à Chartres)"
CIRFA de Chaumont,4 rue Godard Jeanson 52100 Saint-Dizier France,0325038400,
CIRFA de Clermont-Ferrand,avenue du bon repos  ( 2eme étage du bâtiment Centre des Finances Publiques) 63300 Thiers France,0473161888,Bienvenue au  Centre d'Information et de Recrutement des Forces Armées   de Clermont-Ferrand !!
CIRFA de Compiègne,DÉLÉGATION MILITAIRE DEPARTEMENTALE 6 rue du franc Marché 60000 Beauvais France,0344385959,Nous restons à votre disposition si vous avez des questions sur l'armée de Terre.
CIRFA de Dijon,Mission locale rurale de l'Arrondissement de Beaune - antenne d'Arnay-le-Duc1 Rue de la 1ère Armée Française 21230 Arnay le duc France,0380112214,Ouvert le samedi sur rendez-vous.
CIRFA de Dunkerque,"Rue des Alliés Bâtiment de l'Arbalète, cellule 5 62120 AIRE-SUR-LA-LYS France",0328669334,"Afin de vous réserver le meilleur accueil, il est conseillé de prendre rendez-vous au préalable directement sur le site ou par téléphone sur Dunkerque, Calais, Boulogne/Mer, St Omer, Hazebrouck, Merville, Bailleul, et Aire/Lys."
CIRFA de Évry,"110 Place de l'Agora Ascenseur, CIRFA au 5e étage du centre commercial 91000 Evry France",0169474999,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Gap,Caserne Desmichels3 boulevard Victor Hugo 04000 DIGNE-LES-BAINS France,0492675427,en cours
CIRFA de Grenoble,CCAS - 17 avenue Docteur Tagnard 38350 La Mure D'isere France,0788542792,- Rendez-vous individuels - Rendez-vous téléphoniques - Réunions d’Information collectives 16 permanences réparties dans tout l’Isère.   Cliquez sur l’onglet en bas à droite « RENDEZ-VOUS EN  Centre d'Information et de Recrutement des Forces Armées   »
CIRFA de Guadeloupe,Quartier DUGOMMIER 97189 Guadeloupe Guadeloupe,0590606165,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Guyane,Agence Kourou 1 rue de la creche 97310 Kourou Guyane française,0594311245,Les Conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées Remire-Montjoly sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de La Défense,7 place de la défense 92400 Courbevoie France,0171773293,Le personnel du Centre d'Information et de Recrutement des Forces Armées est heureux de vous accueillir mais uniquement sur rendez-vous. Des réunions d'informations sont organisées chaque semaine et une inscription doit être effectuée au préalable afin d'y participer. Contactez-nous.
CIRFA de La Réunion,MAIRIE ANNEXE DE TERRE SAINTE 97410 Terre-Sainte France,0262935599,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Saint-Denis de la Réunion sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de La Roche sur Yon,Maison de l'emploi 65 avenue Général de Gaulle 85300 Challans France,0251478845,"Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de La Rochelle,"3ter, rue des Broussailles 17300 Rochefort France",0546504200,"Parking en face du centre, place de Verdun (payant après la première demi-heure)."
CIRFA de Laon,8 rue Alexandre Dumas 02600 Villers-Cotterêts France,0365320206,Votre nouveau  Centre d'Information et de Recrutement des Forces Armées   ouvrira ses portes le 01 février 2023 ( Ville basse)  - L'armée de Terre... comment ça marche ?  - Le Centre de Formation Initiale du Militaire (CFIM).  Nous sommes partenaires avec le  centre d'entrainement en zone urbaine   - 94e régiment d'infanterie : vous désirez vous y engager ? Venez à notre rencontre au CIRFA !
CIRFA de Laval,Hotel de ville23 place de la république 53200 Château-Gontier France,0243910320,"Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Lille,"3, rue Nungesser 59280 Armentières France",0359004242,
CIRFA de Limoges,Place Auguste Roche 87200 Saint-Junien France,0555348400,"Parking payant à proximité, 5 T boulevard Carnot."
CIRFA de Lorient,"Mission locale de Pontivy13, rue Saint-Jory 56300 PONTIVY France",0297124364,"Le  Centre d'Information et de Recrutement des Forces Armées   est situé en haut de la rue de Cale Ory, entre l'Hôtel Gabriel et la Tour de la Découverte."
CIRFA de Lyon,22 avenue Leclerc 69007 Lyon France,0437273610,"Vous pouvez nous rencontrer pour des informations ou pour candidater pour les différentes filières de l'Armée de Terre. Pour cela, vous pouvez nous contacter : - par téléphone : 04.37.27.36.10 (08h00 - 17h00 du lundi au vendredi)                         ou  06 07 09 72 87 (08h00 - 18h30 du lundi au jeudi et 08h00 - 17h00 le vendredi) - par mail :  Centre d'Information et de Recrutement des Forces Armées  -terre-lyon.cmi.fct@intradef.gouv.fr Les filières de recrutement de l'Armée de Terre vous seront présentées. Nous sommes en mesure de vous accueillir pour des entretiens d'information ou pour des déposes de dossier de candidature (de préférence sur rendez-vous pour favoriser les modalités de votre accueil) entre 08h15 et 17h00 du lundi au vendredi. Nous vous invitons également à créer un compte candidat sur le site sengager.fr où vous avez la possibilité de demander en ligne, un rendez-vous au CIRFA ou une information téléphonique, sur un créneau de votre choix. Nous pouvons en permanence vous informer sur le recrutement dans l'Armée de Terre (militaires d'active) et vous fournir des documents numériques et papier d'information sur les filières, sur demande. Si vous souhaitez candidater, vous devrez contacter au plus vite votre CIRFA afin de préparer administrativement votre dossier de candidature et planifier ensemble les différentes étapes.   Les « réunions d’informations collectives » sont à nouveau proposées  : Les mardis et mercredis à 14h00 pour les filières militaires du rang et sous-officiers (limitées à 8 personnes) - Les jeudis à 13h00 pour les filières officiers (mêmes dispositions)   Rappels des conditions communes d'engagement: - avoir la nationalité française - avoir effectué sa période de JDC / JAPD - jouir de ses droits civiques - avoir plus de 17 ans et demi et moins de 30 ans pour les candidats militaires du rang (moins de 29 ans pour les candidats sous-officiers et moins de 32 ans pour les candidats officiers)   Si vous résidez dans le nord du département du Rhône, vous pouvez rencontrer un conseiller en recrutement de l’armée de Terre à Villefranche sur Saône. Les permanences sont à nouveau assurées, sur réservation uniquement. Ces permanences ont lieu les mardis et jeudis après-midi de 14h à 17h sur rendez-vous, dans les locaux de la sécurité urbaine au 218 Rue Paul Bert, 69400 Villefranche-sur-Saône Tel. 04 74 62 60 49 Plus d’informations par téléphone au 04.81.11.50.02 / 06.42.95.31.88 Pour le recrutement dans la réserve opérationnelle, vous trouverez des informations et la possibilité de candidater sur le site : gardenationale.fr"
CIRFA de Macon,Centre d'Information Local Emploi Formations 1 rue des pierres 71400 Autun France,0385327340,"Afin de répondre au mieux à vos attentes, nous vous invitons à nous contacter pour prendre un rendez-vous avec un conseiller en recrutement à Mâcon ou sur l'une de nos permanences, merci."
CIRFA de Marseille,3 Place Evariste Gras 13600 LA CIOTAT France,0413594770,Il est obligatoire de prendre rendez-vous par téléphone ou en ligne sur notre site. Le  Centre d'Information et de Recrutement des Forces Armées   se situe à proximité de la plage des Catalans. Vous ne pourrez pas accéder en véhicule. Le stationnement doit se faire sur la voie publique (prévoir du temps). L’accès au CIRFA est uniquement piéton (vous munir d’une pièce d'identité pour chaque personne souhaitant y accéder). Port du masque obligatoire et stylo souhaité. Accès autorisé pour une seule personne (pas d'accompagnant). Seuls les candidats mineurs seront accompagnés. Chaque jour du lundi au vendredi à 13h30 une information collective (prise de RDV en ligne) est proposée pour connnaître toutes les possibilités offertes par l’armée de Terre.
CIRFA de Martinique,Quartier Gerbault  97261 Fort de France Martinique,0596395876,Les Conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Fort-de-France sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Massy,BUREAU INFORMATION JEUNESSE 9 rue de Sainte Croix Place de l'hôtel de Ville 91150 ETAMPES France,0169194808,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Massy sont heureux de vous accueillir afin de répondre à toutes vos questions. Inscription obligatoire avant le séance d'information (par téléphone ou sur place)
CIRFA de Mayotte,Quartier CABARIBERE- 1 place de France - BP 44 97610 Dzaoudzi France,0269644660,Le personnel du Centre d'Information et de Recrutement de Dzaoudzi est heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Meaux,16 rue Gaston Monnerville 77100 Meaux France,0164364830,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Meaux sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Melun,Mission Locale rue Claude Bernard 77000 LA ROCHETTE France,0160658950,Les conseillers du Centre d'Information et de Recrutement des Forces Armées de Melun sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Metz,21 rue de la Paix 57200 SARREGUEMINES France,0387155817,
CIRFA de Mont de Marsan,Place du 14 juillet 40160 Parentis en Born France,0558854281,Parking privé au centre.
CIRFA de Montauban,Maison de l'Etat (sous-préfecture)44 rue de la Fraternité 82100 Castelsarrasin France,0563227820,"Si vous ne trouvez pas de place de stationnement à proximité de notre centre, un parking gratuit se situe rue Saint Jean à environ 300 mètres du  Centre d'Information et de Recrutement des Forces Armées  . La Marine nationale est présente dans nos locaux tous les mercredis après-midi de 14h à 17h."
CIRFA de Montpellier,220 avenue du maréchal Juin 34200 Sète France,0467166080,"Prise de RDV sur les permanences de Lunel, Clermont l’hérault et Sète à l’étape suivante ;"
CIRFA de Moulins,11 rue Marcel Sembat 03100 MONTLUCON France,0470488596,"Afin de répondre au mieux à vos attentes, nous vous invitons à nous contacter par téléphone pour prendre un rendez-vous avec un conseiller en recrutement."
CIRFA de Mulhouse,CIRFA de Mulhouse au 152 RI1 Rue des Belges 68000 Colmar France,0389605143,
CIRFA de Nancy,Rue Ernest Bichat 54300 Lunéville France,0383939663,"Pour une première visite, vous pouvez venir à notre rencontre sans rendez-vous aux horaires d'ouverture à Nancy ou dans une de nos nombreuses permanences de proximité que vous pouvez voir ci-dessous."
CIRFA de Nantes,1 place de l'église 44290 Guéméné-Penfao France,0228242055,Le  Centre d'Information et de Recrutement des Forces Armées   se situe dans le bâtiment de la Journée Défense et Citoyenneté (anciennement JAPD) au n°16 de la rue des Rochettes à Nantes.
CIRFA de Narbonne,Mission locale 8 Avenue Georges Clémenceau 11200 LEZIGNAN-CORBIERES France,0468494593,Venez nous retrouver dans nos nouveaux locaux !!! Merci de l’attention que vous portez à l'armée de Terre.
CIRFA de Nevers,2 Rue de la Mission 58290 Moulins-Engilbert France,0386599590,En cours
CIRFA de Nice,18/20 boulevard Foch 06600 Antibes France,0493627873,"Le bureau de l'armée de Terre du Centre d'Information et de Recrutement des Forces Armées de Nice organise en visio des informations collectives militaires du rang, sous-officiers et officiers plusieurs fois par mois. Pour vous inscrire, cliquez sur « RENDEZ-VOUS EN  Centre d'Information et de Recrutement des Forces Armées   ! » en bas à droite de cette page ou inscrivez-vous sur notre INSTAGRAM @cirfaterrenice Les informations collectives online via INSTAGRAM ont lieu TOUS les MERCREDIS à 14H00. Le conseiller en recrutement vous présentera les possibilités de carrières qu’offre l’armée de Terre et répondra à vos questions en direct. Le processus du recrutement vous sera détaillé ! L’armée de Terre est le premier employeur de la jeunesse. Avec des durées de contrat allant de 1 à 10 ans, l’armée de Terre vous propose jusqu’à 100 spécialités à travers 16 000 postes à pouvoir en 2021. Vous êtes motivé, rigoureux, dynamique et sportif, vous pourriez avoir votre place au sein de l’armée de Terre."
CIRFA de Nîmes GARD/LOZERE,Pôle emploi BAGNOLS SUR CEZE 520 Avenue Roger Salengro 30200 Bagnols-sur-Cèze France,0466023122,PERMANENCES  Centre d'Information et de Recrutement des Forces Armées   de Nîmes GARD/LOZÈRE Prendre RDV au Tél : 04 66 02 31 22 ou par Mail : cirfa-terre-nimes.accueil.fct@intradef.gouv.frNouvelles consignes de présentation dans nos locaux. - VENIR SEUL. Les accompagnants ne seront pas autorisés à rentrer dans nos bureaux. - PRÉSENTER UNE PIÈCE D'IDENTITÉ. - ÊTRE ÉQUIPÉ : d'un masque de protection bucco-nasale et d'un stylo noir.LIEUX DES PERMANENCES : -LE VIGAN / -SOMMIÈRES / -ALES / -MENDE / -VAUVERT / -BEAUCAIRE / -BAGNOLS-SUR-CÈZE
CIRFA de Niort,124 boulevard de Poitiers 79300 Bressuire France,0549771691,"L'entrée du centre se trouve devant les barrières automatiques du Conseil Général, entre la place Denfer Rochereau et la place Chanzy. Stationnement gratuit place Denfer Rochereau ou payant place Chanzy."
CIRFA de Nouvelle Calédonie,Rue Olry -BP38 Caserne GALLY-PASSEBOSC 98843 Nouméa France,0687292946,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Nouméa sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Paris,14 Avenue de Lowendal 75007 Paris France,0176648773,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Paris sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Pau,Centre Yves Dréau 64150 Mourenx France,0559404566,Parking à proximité.
CIRFA de Périgueux,Place GambettaPole social 24700 Montpon-Ménestérol France,0553028275,Le centre se situe à côté de l'école de police.
CIRFA de Perpignan,2 Grand Rue 66210 BOLQUERE France,0468082289,"En 2021, le Centre d'Information et de Recrutement des Forces Armées (  Centre d'Information et de Recrutement des Forces Armées   ) peut vous recevoir en dehors des créneaux affiché. Pour cela prenez rendez-vous directement via le site sengager.fr. Nous sommes placés rue VIELLEDENT en face de la « CASA MUSICAL ». Il y a un parking payant en face de la caserne. L’accès au CIRFA est uniquement piéton (vous munir d’une pièce d'identité pour chaque personne souhaitant y accéder). Port du masque obligatoire et stylo souhaité. Accès autorisé pour une seule personne (pas d'accompagnant). Seuls les candidats mineurs seront accompagnés. L’armée de Terre vous intéresse ? Inscrivez-vous et posez vos questions sur le site Internet SENGAGER.FR Dans le contexte actuel, l’armée de Terre demeure un partenaire majeur auprès des jeunes favorisant leur premier emploi. Avec des durées de contrat allant de 1 à 9 ans, l’armée de Terre vous propose jusqu’à 100 spécialités à travers 16 000 postes à pouvoir en 2021. Si vous êtes motivé, vous pouvez avoir votre place au sein de l’armée de Terre. En qualité d’officier (cadre supérieur), de sous-officier (contremaître/agent de maîtrise) ou de militaire du rang (spécialiste), de nombreux emplois existent au sein de l’armée de Terre, dans des domaines très variés (mécanique, informatique, sport, logistique, combat, secrétariat, métiers de bouche etc ...). Retrouvez-nous également sur l’application mobile SENGAGER.FR (informations, conseils, …) Vous pouvez nous retrouver au CIRFA ou sur nos différentes permanences Permanences régulières : Tous les 1ers mercredis de chaque mois Mairie de BOLQUERE de 10h15 à 12h00 appelez au 04 68 08 22 89 pour prévenir de votre présence. Mission Locale Jeunes Antenne de PRADES -Bâtiment Chef de Bien-Boulevard de la Gare-tel : 04 68 96 56 90 courriel : antenne.prades@mlj66.fr"
